owner_name,address,city,state,score,truepeoplesearch,fastpeoplesearch,google_phone
,Zillow listing in 63112,St. Louis,MO,15,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063112&citystatezip=St.%20Louis%2C%20MO,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63112_st. louis-mo,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063112+St.%20Louis%2C%20MO+phone+number
,Zillow listing in 30317,Atlanta,GA,12,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2030317&citystatezip=Atlanta%2C%20GA,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-30317_atlanta-ga,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2030317+Atlanta%2C%20GA+phone+number
,Zillow listing in 30354,Atlanta,GA,12,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2030354&citystatezip=Atlanta%2C%20GA,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-30354_atlanta-ga,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2030354+Atlanta%2C%20GA+phone+number
,Zillow listing in 28205,Charlotte / Raleigh,NC,12,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2028205&citystatezip=Charlotte%20/%20Raleigh%2C%20NC,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-28205_charlotte / raleigh-nc,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2028205+Charlotte%20/%20Raleigh%2C%20NC+phone+number
,Zillow listing in 75203,Dallas-Fort Worth,TX,10,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075203&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75203_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075203+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 76106,Dallas-Fort Worth,TX,10,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2076106&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-76106_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2076106+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 75216,Dallas-Fort Worth,TX,10,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075216&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75216_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075216+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 75217,Dallas-Fort Worth,TX,10,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075217&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75217_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075217+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 44102,Cleveland,OH,5,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2044102&citystatezip=Cleveland%2C%20OH,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-44102_cleveland-oh,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044102+Cleveland%2C%20OH+phone+number
,Zillow listing in 33605,Jacksonville / Tampa,FL,5,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2033605&citystatezip=Jacksonville%20/%20Tampa%2C%20FL,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-33605_jacksonville / tampa-fl,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2033605+Jacksonville%20/%20Tampa%2C%20FL+phone+number
