state,market,rank,company,phone,website,investor_friendly,primary,deals_closed,avg_close_days,ease_score,profit_score,last_contact,notes
MO,St. Louis,3,Continental Title Company,(314) 366-0348,https://cticmo.com,yes,n,0,,,,,"3353 Roger Pl. Midwest multi-state operator. Investor-comfortable."
MO,St. Louis,4,Integrity Title Solutions,(314) 725-1500,https://integritytitlellc.com,yes,n,0,,,,,"11715 Administration Dr. Smaller shop. Responsive."
MO,St. Louis,5,Empora Title (MO licensed),via website,https://emporatitle.com,yes,n,0,,,,,"Digital-first. Built for investors. MO in service list. Good for online flow."
AZ,Phoenix,1,University Title Agency,(602) 903-4914,https://utitlearizona.com,yes,y,0,,,,,"Explicit menu: creative financing, double-close, assignments, land contracts, sub-to, wraps. Clearest investor menu in AZ."
AZ,Phoenix,2,Magnus Title Agency,(602) 792-7300,https://magnustitle.com,yes,n,0,,,,,"Largest privately-held agency in Maricopa County. Multiple Phoenix locations. Investor-experienced."
AZ,Phoenix,3,Equity Title of Arizona,via website,https://eta-az.com,yes,n,0,,,,,"Multiple Maricopa branches. Fast turnaround. Used by Phoenix flippers."
AZ,Phoenix,4,Standard Title & Escrow,via website,https://standardclosingaz.com,yes,n,0,,,,,"Since 2019. Investor + builder niche across Phoenix/Peoria/Glendale."
AZ,Phoenix,5,Fidelity National Title - Phoenix,varies,https://fntic.com,branch_dependent,n,0,,,,,"Big AZ market share but requires wholesaler to bring own funds. Only with named officer."
TN,Nashville,1,CLOSED Title - Nashville,(615) 574-6230,https://closedtitle.com,yes,y,0,,,,,"2260 Murfreesboro Pike. 100% digital. Built for investor transactions. Dedicated /investors page."
TN,Nashville,2,Wagon Wheel Title & Escrow,(615) 650-5100,https://wagonwheeltitle.com,yes,n,0,,,,,"204 S 11th St East Nashville (near Davidson Co Register). Services investors explicitly. Franklin + Sumner offices too."
TN,Nashville,3,Stewart Title - Nashville,via market page,https://stewart.com/en/markets/nashville,branch_dependent,n,0,,,,,"National underwriter with local commercial + residential ops. Use with specific officer."
TN,Nashville,4,Jaken Finance Group regionals,via website,https://jakenfinancegroup.com,yes,n,0,,,,,"Not a title co itself. TN guide references vetted wholesaler-friendly shops. Cross-reference."
TN,Nashville,5,Fidelity National Title - Nashville,varies,https://fntic.com,branch_dependent,n,0,,,,,"National. Same caveat. Use only with named officer."
